id2,geography,population,housing,income,employment,poverty
06037101110,"Census Tract 1011.10, Los Angeles County, California",5012,356800,49955,57.8,933
06037101122,"Census Tract 1011.22, Los Angeles County, California",3504,456700,102614,70.3,148
06037101210,"Census Tract 1012.10, Los Angeles County, California",6604,299700,43323,63.1,1627
06037101220,"Census Tract 1012.20, Los Angeles County, California",3123,361500,38403,58,637
06037101300,"Census Tract 1013, Los Angeles County, California",4247,449000,79346,58.3,217
06037101400,"Census Tract 1014, Los Angeles County, California",4047,451900,60931,50.1,706
06037102103,"Census Tract 1021.03, Los Angeles County, California",1755,466700,60625,65.2,21
06037102104,"Census Tract 1021.04, Los Angeles County, California",3226,436300,81111,58,95
06037102105,"Census Tract 1021.05, Los Angeles County, California",1847,408100,44861,49.3,302
06037102107,"Census Tract 1021.07, Los Angeles County, California",3542,469200,47917,47.8,688
06037103101,"Census Tract 1031.01, Los Angeles County, California",2786,397600,70081,60.5,250
06037103102,"Census Tract 1031.02, Los Angeles County, California",5114,357100,72138,56.2,392
06037103200,"Census Tract 1032, Los Angeles County, California",6033,410900,72740,49.2,975
06037103300,"Census Tract 1033, Los Angeles County, California",3249,641800,95761,62.3,415
06037103400,"Census Tract 1034, Los Angeles County, California",6697,350600,62807,64.5,597
06037104103,"Census Tract 1041.03, Los Angeles County, California",3573,322500,67083,53.2,176
06037104105,"Census Tract 1041.05, Los Angeles County, California",5671,209000,43690,53.2,1803
06037104108,"Census Tract 1041.08, Los Angeles County, California",5395,263300,46750,56.3,1284
06037104124,"Census Tract 1041.24, Los Angeles County, California",4278,310200,71432,53.3,569
06037104201,"Census Tract 1042.01, Los Angeles County, California",4697,279600,52716,57.8,867
06037104203,"Census Tract 1042.03, Los Angeles County, California",4612,305200,37411,58.6,1386
06037104204,"Census Tract 1042.04, Los Angeles County, California",3628,271200,45726,51.9,944
06037104310,"Census Tract 1043.10, Los Angeles County, California",4725,274800,51833,49.8,906
06037104320,"Census Tract 1043.20, Los Angeles County, California",5783,244800,47791,60.3,871
06037104401,"Census Tract 1044.01, Los Angeles County, California",3290,281900,67784,55.5,618
06037104403,"Census Tract 1044.03, Los Angeles County, California",3268,253900,44858,53.2,1119
06037104404,"Census Tract 1044.04, Los Angeles County, California",2791,301800,46250,51.8,732
06037104500,"Census Tract 1045, Los Angeles County, California",3070,304800,49107,58.9,671
06037104610,"Census Tract 1046.10, Los Angeles County, California",3554,268900,39922,52.9,1228
06037104620,"Census Tract 1046.20, Los Angeles County, California",3402,239600,47800,52,645
06037104701,"Census Tract 1047.01, Los Angeles County, California",4108,291900,27292,44.7,1558
06037104703,"Census Tract 1047.03, Los Angeles County, California",2100,224500,42061,59,638
