id2,geography,population,housing,income,employment,poverty
06075010100,"Census Tract 101, San Francisco County, California",3741,759900,54798,59.8,503
06075010200,"Census Tract 102, San Francisco County, California",4028,1000000,108557,72.4,196
06075010300,"Census Tract 103, San Francisco County, California",4729,1000000,91458,59.8,665
06075010400,"Census Tract 104, San Francisco County, California",5103,832200,86847,71.6,394
06075010500,"Census Tract 105, San Francisco County, California",2592,961200,115233,59.6,102
06075010600,"Census Tract 106, San Francisco County, California",3607,744600,29344,61.2,885
06075010700,"Census Tract 107, San Francisco County, California",5535,1000000,23897,51.8,1237
06075010800,"Census Tract 108, San Francisco County, California",4925,1000000,80614,65.8,815
06075010900,"Census Tract 109, San Francisco County, California",4571,912900,109362,75.6,464
06075011000,"Census Tract 110, San Francisco County, California",5621,663800,74414,72.6,711
06075011100,"Census Tract 111, San Francisco County, California",5286,752900,61904,68.6,605
06075011200,"Census Tract 112, San Francisco County, California",2932,1000000,76714,57.5,434
06075011300,"Census Tract 113, San Francisco County, California",3204,728400,23261,45.5,812
06075011700,"Census Tract 117, San Francisco County, California",1461,1000000,33613,57.9,388
06075011800,"Census Tract 118, San Francisco County, California",1808,0,25753,50.9,662
06075011901,"Census Tract 119.01, San Francisco County, California",2443,598400,58685,64,308
06075011902,"Census Tract 119.02, San Francisco County, California",2723,1000000,51996,75,568
06075012000,"Census Tract 120, San Francisco County, California",3723,1000000,35413,60.5,856
06075012100,"Census Tract 121, San Francisco County, California",3784,492600,49872,66.6,577
06075012201,"Census Tract 122.01, San Francisco County, California",4514,383600,35244,57.3,1248
06075012202,"Census Tract 122.02, San Francisco County, California",2605,0,27908,56.2,922
06075012301,"Census Tract 123.01, San Francisco County, California",1804,0,12018,36.2,813
06075012302,"Census Tract 123.02, San Francisco County, California",2423,0,26042,54.2,578
06075012401,"Census Tract 124.01, San Francisco County, California",4196,0,19108,55.4,1060
06075012402,"Census Tract 124.02, San Francisco County, California",3466,370900,25274,53.7,1135
06075012501,"Census Tract 125.01, San Francisco County, California",3336,286500,12210,30.4,1257
06075012502,"Census Tract 125.02, San Francisco County, California",3741,0,12037,35.9,1626
06075012601,"Census Tract 126.01, San Francisco County, California",2392,1000000,92066,74.5,96
06075012602,"Census Tract 126.02, San Francisco County, California",3259,1000000,133155,73.7,159
06075012700,"Census Tract 127, San Francisco County, California",3682,1000000,105128,69.1,313
06075012800,"Census Tract 128, San Francisco County, California",4634,1000000,118281,74.9,179
06075012901,"Census Tract 129.01, San Francisco County, California",2399,943200,110741,82.5,43
06075012902,"Census Tract 129.02, San Francisco County, California",3284,1000000,104758,76.9,93
06075013000,"Census Tract 130, San Francisco County, California",4143,1000000,115536,70.8,379
06075013101,"Census Tract 131.01, San Francisco County, California",3750,852700,121855,80,151
06075013102,"Census Tract 131.02, San Francisco County, California",2809,1000000,96324,70.3,223
06075013200,"Census Tract 132, San Francisco County, California",4377,1000000,137230,61.7,147
06075013300,"Census Tract 133, San Francisco County, California",4314,1000000,128125,60.6,373
06075013400,"Census Tract 134, San Francisco County, California",3635,1000000,106364,78.5,263
06075013500,"Census Tract 135, San Francisco County, California",2569,1000000,100136,67.7,240
06075015100,"Census Tract 151, San Francisco County, California",2067,603100,88854,61.5,94
06075015200,"Census Tract 152, San Francisco County, California",3966,780100,66403,67.6,435
06075015300,"Census Tract 153, San Francisco County, California",2193,1000000,95000,70.4,204
06075015400,"Census Tract 154, San Francisco County, California",5937,908200,97195,60.4,375
06075015500,"Census Tract 155, San Francisco County, California",3939,609500,56835,43.8,798
06075015600,"Census Tract 156, San Francisco County, California",2762,948600,76275,68,351
06075015700,"Census Tract 157, San Francisco County, California",7557,840400,82759,54.8,651
06075015801,"Census Tract 158.01, San Francisco County, California",3847,552200,61500,65.1,385
06075015802,"Census Tract 158.02, San Francisco County, California",2849,875000,85484,74.9,384
06075015900,"Census Tract 159, San Francisco County, California",4404,521800,32457,50.2,1006
06075016000,"Census Tract 160, San Francisco County, California",2447,539100,57434,63.8,314
06075016100,"Census Tract 161, San Francisco County, California",4907,494400,19790,36.5,1951
06075016200,"Census Tract 162, San Francisco County, California",2391,672300,46205,73.9,389
06075016300,"Census Tract 163, San Francisco County, California",4674,682500,69856,76.6,918
06075016400,"Census Tract 164, San Francisco County, California",4023,794200,76798,76.4,559
06075016500,"Census Tract 165, San Francisco County, California",5289,790300,81354,69.2,771
06075016600,"Census Tract 166, San Francisco County, California",5639,911500,81078,75.4,813
06075016700,"Census Tract 167, San Francisco County, California",4895,1000000,117761,81.9,488
06075016801,"Census Tract 168.01, San Francisco County, California",3610,754700,84082,77.7,472
06075016802,"Census Tract 168.02, San Francisco County, California",3089,682500,62204,72.4,581
06075016900,"Census Tract 169, San Francisco County, California",3113,868500,103529,77.3,159
06075017000,"Census Tract 170, San Francisco County, California",3641,1000000,113152,72.3,324
06075017101,"Census Tract 171.01, San Francisco County, California",3453,1000000,119186,79.2,181
06075017102,"Census Tract 171.02, San Francisco County, California",3728,1000000,111734,83.8,356
06075017601,"Census Tract 176.01, San Francisco County, California",6964,540400,24164,53.7,1954
06075017700,"Census Tract 177, San Francisco County, California",1534,732800,89500,79.5,236
06075017801,"Census Tract 178.01, San Francisco County, California",3042,623400,14688,32.6,1072
06075017802,"Census Tract 178.02, San Francisco County, California",4175,623900,76685,56.3,808
06075017902,"Census Tract 179.02, San Francisco County, California",2654,0,37500,51.3,1069
06075018000,"Census Tract 180, San Francisco County, California",3616,748000,122500,55.8,579
06075020100,"Census Tract 201, San Francisco County, California",5492,618200,34323,56.8,1715
06075020200,"Census Tract 202, San Francisco County, California",5994,625000,62648,67.8,1008
06075020300,"Census Tract 203, San Francisco County, California",3138,806600,108051,74.8,382
06075020401,"Census Tract 204.01, San Francisco County, California",2887,960400,126579,83.7,68
06075020402,"Census Tract 204.02, San Francisco County, California",4192,834500,88639,71.1,238
06075020500,"Census Tract 205, San Francisco County, California",2496,1000000,115417,76.9,239
06075020600,"Census Tract 206, San Francisco County, California",4500,1000000,117578,71.7,356
06075020700,"Census Tract 207, San Francisco County, California",5731,876800,115750,76.4,493
06075020800,"Census Tract 208, San Francisco County, California",6673,884800,68387,71.5,1329
06075020900,"Census Tract 209, San Francisco County, California",4969,659200,51510,70.2,847
06075021000,"Census Tract 210, San Francisco County, California",4599,876400,106801,81,460
06075021100,"Census Tract 211, San Francisco County, California",3883,1000000,105880,72.4,351
06075021200,"Census Tract 212, San Francisco County, California",2738,1000000,127808,70,205
06075021300,"Census Tract 213, San Francisco County, California",2477,1000000,130357,75,89
06075021400,"Census Tract 214, San Francisco County, California",3359,1000000,125800,76.5,141
06075021500,"Census Tract 215, San Francisco County, California",4958,974600,109627,77,188
06075021600,"Census Tract 216, San Francisco County, California",4149,880000,94048,70.1,315
06075021700,"Census Tract 217, San Francisco County, California",3762,853200,89750,57.5,377
06075021800,"Census Tract 218, San Francisco County, California",4133,917700,110398,70.2,332
06075022600,"Census Tract 226, San Francisco County, California",1743,689400,142260,84,55
06075022702,"Census Tract 227.02, San Francisco County, California",2324,899400,147095,81.1,66
06075022704,"Census Tract 227.04, San Francisco County, California",3191,856700,138472,74.9,131
06075022801,"Census Tract 228.01, San Francisco County, California",4760,664000,85052,74.1,626
06075022802,"Census Tract 228.02, San Francisco County, California",2262,823700,59492,54.1,539
06075022803,"Census Tract 228.03, San Francisco County, California",5097,703900,79735,74.5,689
06075022901,"Census Tract 229.01, San Francisco County, California",4303,758200,60479,69.2,547
06075022902,"Census Tract 229.02, San Francisco County, California",2426,711400,90200,73.3,341
06075022903,"Census Tract 229.03, San Francisco County, California",3033,681400,63750,64,527
06075023001,"Census Tract 230.01, San Francisco County, California",5179,531700,51659,51,1247
06075023003,"Census Tract 230.03, San Francisco County, California",3914,496500,79890,59.8,448
06075023102,"Census Tract 231.02, San Francisco County, California",3950,378300,34617,63.5,1254
06075023103,"Census Tract 231.03, San Francisco County, California",3959,313000,18846,34.4,1873
06075023200,"Census Tract 232, San Francisco County, California",4385,444300,43906,53.5,1024
06075023300,"Census Tract 233, San Francisco County, California",3484,508100,75857,60.5,374
06075023400,"Census Tract 234, San Francisco County, California",3716,497500,54786,52.3,884
06075025100,"Census Tract 251, San Francisco County, California",3310,737000,85345,67.2,208
06075025200,"Census Tract 252, San Francisco County, California",5779,819300,108179,71.3,666
06075025300,"Census Tract 253, San Francisco County, California",4462,784800,113854,75.5,391
06075025401,"Census Tract 254.01, San Francisco County, California",3760,749500,80139,65,632
06075025402,"Census Tract 254.02, San Francisco County, California",3358,760500,87844,68,170
06075025403,"Census Tract 254.03, San Francisco County, California",5383,680500,66667,62.1,776
