countries,month,day,year,num
Argentina,July,22,2010,1
Belgium,June,1,2003,2
Brazil,May,14,2014,3
Canada,July,20,2005,4
Denmark,June,15,2012,5
Spain,July,3,2005,6
Finland,November,28,2014,7
France,May,29,2013,8
United Kingdom,July,17,2013,9
Ireland,May,23,2015,10
Iceland,June,27,2010,11
Luxembourg,June,18,2014,12
The Netherlands,April,1,2001,13
Norway,January,1,2009,14
New Zealand,August,19,2013,15
Portugal,June,5,2010,16
United States,June,26,2015,17
Uruguay,August,5,2013,18
South Africa,November,30,2006,19
Sweden,May,1,2009,20
